Artist,Stage Name,Host Name,Timeslot,Date,Year,Day,Weekend,Genre(s)
DJ Mars,The Gathering,The Gathering hosted by MC Gunner,13:30 - 14:15,18 July,2024,Thursday,Weekend 1,
Bosart,The Gathering,The Gathering hosted by MC Gunner,14:15 - 15:00,18 July,2024,Thursday,Weekend 1,
Dietro,The Gathering,The Gathering hosted by MC Gunner,15:00 - 15:45,18 July,2024,Thursday,Weekend 1,
Voltage,The Gathering,The Gathering hosted by MC Gunner,15:45 - 16:30,18 July,2024,Thursday,Weekend 1,
Elfigo,The Gathering,The Gathering hosted by MC Gunner,16:30 - 17:15,18 July,2024,Thursday,Weekend 1,
>rthur Lewis ft. Gerben Tuerlinckx,The Gathering,The Gathering hosted by MC Gunner,17:15 - 18:00,18 July,2024,Thursday,Weekend 1,
Nina Black,The Gathering,The Gathering hosted by MC Gunner,18:00 - 18:45,18 July,2024,Thursday,Weekend 1,Techno
Michael Amani,The Gathering,The Gathering hosted by MC Gunner,18:45 - 19:30,18 July,2024,Thursday,Weekend 1,"House, Techno"
The Oddword,The Gathering,The Gathering hosted by MC Gunner,19:30 - 20:15,18 July,2024,Thursday,Weekend 1,
Andromedik,The Gathering,The Gathering hosted by MC Gunner,20:15 - 20:45,18 July,2024,Thursday,Weekend 1,Drum & Bass
Mandy,The Gathering,The Gathering hosted by MC Gunner,20:45 - 21:15,18 July,2024,Thursday,Weekend 1,Hard Dance
Surprise,The Gathering,The Gathering hosted by MC Gunner,21:15 - 22:00,18 July,2024,Thursday,Weekend 1,TBA
Surprise,The Gathering,The Gathering hosted by MC Gunner,22:00 - 22:45,18 July,2024,Thursday,Weekend 1,TBA
Surprise,The Gathering,The Gathering hosted by MC Gunner,22:45 - 23:30,18 July,2024,Thursday,Weekend 1,TBA
Surprise,The Gathering,The Gathering hosted by MC Gunner,23:30 - 00:00,18 July,2024,Thursday,Weekend 1,TBA
Unsyn,Cage,Footworxx,12:00 - 13:00,19 July,2024,Friday,Weekend 1,
Rayzen,Cage,Footworxx,13:00 - 14:00,19 July,2024,Friday,Weekend 1,Hardcore
K1 & Aradia,Cage,Footworxx,14:00 - 15:00,19 July,2024,Friday,Weekend 1,
Hyperverb,Cage,Footworxx,15:00 - 16:00,19 July,2024,Friday,Weekend 1,
Footworxx Militant Crew,Cage,Footworxx,16:00 - 17:00,19 July,2024,Friday,Weekend 1,
Sakyra,Cage,Footworxx,17:00 - 18:00,19 July,2024,Friday,Weekend 1,Hardcore
HYSTA,Cage,Footworxx,18:00 - 19:00,19 July,2024,Friday,Weekend 1,Hardcore
Vandal,Cage,Footworxx,19:00 - 20:00,19 July,2024,Friday,Weekend 1,
Billx,Cage,Footworxx,20:00 - 21:00,19 July,2024,Friday,Weekend 1,"Commercial Dance, Electronica"
Reflexx,Cage,Footworxx,21:00 - 22:00,19 July,2024,Friday,Weekend 1,
Unicorn on K,Cage,Footworxx,22:00 - 23:00,19 July,2024,Friday,Weekend 1,
Juwlz,Freedom,Freedom by Bud,12:00 - 14:00,19 July,2024,Friday,Weekend 1,
Maxim Lany,Freedom,Freedom by Bud,14:00 - 16:00,19 July,2024,Friday,Weekend 1,"House, Deep House"
Rose Ringed,Freedom,Freedom by Bud,16:00 - 17:30,19 July,2024,Friday,Weekend 1,
Agents Of Time (Live),Freedom,Freedom by Bud,17:30 - 19:00,19 July,2024,Friday,Weekend 1,Techno
Mau P,Freedom,Freedom by Bud,19:00 - 20:30,19 July,2024,Friday,Weekend 1,"Hip-Hop, Rap"
Mathame,Freedom,Freedom by Bud,20:30 - 22:00,19 July,2024,Friday,Weekend 1,Techno
Don Diablo,Freedom,Freedom by Bud,22:00 - 23:30,19 July,2024,Friday,Weekend 1,Progressive House
Hardwell,Freedom,Freedom by Bud,23:30 - 00:30,19 July,2024,Friday,Weekend 1,"Electro House, Progressive House"
Hawkeyes,House of Fortune,House of Fortune by JBL,13:00 - 14:00,19 July,2024,Friday,Weekend 1,
Yamo,House of Fortune,House of Fortune by JBL,14:00 - 15:00,19 July,2024,Friday,Weekend 1,"Electronic, Experimental"
Dave Lambert,House of Fortune,House of Fortune by JBL,15:00 - 16:00,19 July,2024,Friday,Weekend 1,Traditional House
Makasi,House of Fortune,House of Fortune by JBL,16:00 - 17:00,19 July,2024,Friday,Weekend 1,House
DJs From Mars,House of Fortune,House of Fortune by JBL,17:00 - 18:00,19 July,2024,Friday,Weekend 1,"Electro House, Progressive House"
Nicky Romero,House of Fortune,House of Fortune by JBL,18:00 - 19:00,19 July,2024,Friday,Weekend 1,Progressive House
Seth Hills,House of Fortune,House of Fortune by JBL,19:00 - 20:00,19 July,2024,Friday,Weekend 1,
Chico Rose,House of Fortune,House of Fortune by JBL,20:00 - 21:00,19 July,2024,Friday,Weekend 1,Future House
Henri PFR,House of Fortune,House of Fortune by JBL,21:00 - 22:00,19 July,2024,Friday,Weekend 1,"Commercial Dance, Electronica, Traditional House"
Kayu,Crystal Garden,Keinemusik presents,12:00 - 14:00,19 July,2024,Friday,Weekend 1,
Meera,Crystal Garden,Keinemusik presents,14:00 - 15:30,19 July,2024,Friday,Weekend 1,
Samm & Ajna,Crystal Garden,Keinemusik presents,15:30 - 17:00,19 July,2024,Friday,Weekend 1,
DBN Gogo,Crystal Garden,Keinemusik presents,17:00 - 18:30,19 July,2024,Friday,Weekend 1,
Alan Dixon,Crystal Garden,Keinemusik presents,18:30 - 20:00,19 July,2024,Friday,Weekend 1,
WhoMadeWho,Crystal Garden,Keinemusik presents,20:00 - 21:30,19 July,2024,Friday,Weekend 1,Commercial Dance
"Keinemusik (&ME, Adam Port, Rampa)",Crystal Garden,Keinemusik presents,21:30 - 00:30,19 July,2024,Friday,Weekend 1,
Q DANCE End show,Library,Library,0:35 - 01:00,19 July,2024,Friday,Weekend 1,
Dolores,Library,Library,12:00 - 13:00,19 July,2024,Friday,Weekend 1,
Reygel,Library,Library,13:00 - 14:00,19 July,2024,Friday,Weekend 1,"Electronic, Dance"
Whisnu Santika,Library,Library,14:00 - 15:00,19 July,2024,Friday,Weekend 1,
Kris Kross Amsterdam,Library,Library,15:00 - 16:00,19 July,2024,Friday,Weekend 1,"Electronic, Pop"
Henri PFR,Library,Library,16:00 - 17:00,19 July,2024,Friday,Weekend 1,"Commercial Dance, Electronica, Traditional House"
Trinix,Library,Library,17:00 - 18:00,19 July,2024,Friday,Weekend 1,
B Jones,Library,Library,18:00 - 19:00,19 July,2024,Friday,Weekend 1,"Dance, Electronic, Hip-Hop, Rap"
Regi & Mark With a K,Library,Library,19:00 - 20:00,19 July,2024,Friday,Weekend 1,
Maddix,Library,Library,20:00 - 21:00,19 July,2024,Friday,Weekend 1,
Nervo,Library,Library,21:00 - 22:00,19 July,2024,Friday,Weekend 1,"Electro House, Progressive House"
Nicky Romero,Library,Library,22:00 - 23:00,19 July,2024,Friday,Weekend 1,Progressive House
Sound Rush,Library,Library,23:00 - 23:50,19 July,2024,Friday,Weekend 1,Hardstyle
Ran-D,Library,Library,23:50 - 00:35,19 July,2024,Friday,Weekend 1,Hardcore Techno
Daybreak Session: Oliver Heldens,Mainstage,Mainstage,12:00 - 14:30,19 July,2024,Friday,Weekend 1,
Miss Monique,Mainstage,Mainstage,14:30 - 15:30,19 July,2024,Friday,Weekend 1,
Öwnboss,Mainstage,Mainstage,15:30 - 16:30,19 July,2024,Friday,Weekend 1,Electronic Dance Music (EDM)
W&W,Mainstage,Mainstage,16:30 - 17:30,19 July,2024,Friday,Weekend 1,Trance
Vintage Culture,Mainstage,Mainstage,17:35 - 18:35,19 July,2024,Friday,Weekend 1,"Commercial Dance, Electro House, Electronica, Traditional House"
Da Tweekaz,Mainstage,Mainstage,18:40 - 19:40,19 July,2024,Friday,Weekend 1,Hardcore Techno
John Newman,Mainstage,Mainstage,19:40 - 20:40,19 July,2024,Friday,Weekend 1,Commercial Dance
Netsky,Mainstage,Mainstage,20:40 - 21:40,19 July,2024,Friday,Weekend 1,Drum & Bass
Kölsch,Mainstage,Mainstage,21:45 - 22:45,19 July,2024,Friday,Weekend 1,Commercial Dance
Swedish House Mafia,Mainstage,Mainstage,22:50 - 23:50,19 July,2024,Friday,Weekend 1,Progressive House
Armin van Buuren,Mainstage,Mainstage,23:50 - 00:50,19 July,2024,Friday,Weekend 1,Trance
Guilini,Elixir,Mangrove,13:00 - 14:30,19 July,2024,Friday,Weekend 1,
C-Track,Elixir,Mangrove,14:30 - 16:00,19 July,2024,Friday,Weekend 1,
Jaël Ost & MagiK,Elixir,Mangrove,16:00 - 17:00,19 July,2024,Friday,Weekend 1,
Rick & James 80’s Party,Elixir,Mangrove,17:00 - 18:00,19 July,2024,Friday,Weekend 1,"Pop, Rock"
Nina Black,Elixir,Mangrove,18:00 - 19:00,19 July,2024,Friday,Weekend 1,Techno
STUK,Elixir,Mangrove,19:00 - 20:00,19 July,2024,Friday,Weekend 1,
Eagl,Elixir,Mangrove,20:00 - 21:00,19 July,2024,Friday,Weekend 1,Techno
Jamie Lee Six & Louis XIV,Elixir,Mangrove,21:00 - 22:00,19 July,2024,Friday,Weekend 1,
Audiowave & MC Rim,Elixir,Mangrove,22:00 - 23:30,19 July,2024,Friday,Weekend 1,
Kamal Bankay,Elixir,Mangrove,23:30 - 01:00,19 July,2024,Friday,Weekend 1,Unknown
DJ Gerrit,Moosebar,Moosebar,12:00 - 13:00,19 July,2024,Friday,Weekend 1,
Funktastix,Moosebar,Moosebar,13:00 - 14:00,19 July,2024,Friday,Weekend 1,
Gebroeders KO,Moosebar,Moosebar,14:00 - 15:00,19 July,2024,Friday,Weekend 1,
Thierry VonderWarth,Moosebar,Moosebar,15:00 - 16:00,19 July,2024,Friday,Weekend 1,"Electronic, Techno"
Blanko & ATMOS,Rose Garden,Rampage,13:00 - 14:00,19 July,2024,Friday,Weekend 1,
Kara,Rose Garden,Rampage,14:00 - 15:00,19 July,2024,Friday,Weekend 1,
Georgie Riot & Captain Bass,Rose Garden,Rampage,15:00 - 16:00,19 July,2024,Friday,Weekend 1,
Tisoki & Oliverse,Rose Garden,Rampage,16:00 - 17:00,19 July,2024,Friday,Weekend 1,
SOTA,Rose Garden,Rampage,17:00 - 18:00,19 July,2024,Friday,Weekend 1,
Vampa,Rose Garden,Rampage,18:00 - 19:00,19 July,2024,Friday,Weekend 1,
Murdock,Rose Garden,Rampage,19:00 - 20:00,19 July,2024,Friday,Weekend 1,Drum & Bass
ATLiens,Rose Garden,Rampage,20:00 - 21:00,19 July,2024,Friday,Weekend 1,Dubstep
Friction,Rose Garden,Rampage,21:00 - 22:00,19 July,2024,Friday,Weekend 1,Drum & Bass
